source,target,source_type,target_type,relation_type,city,state,country,genre,weight,Intrument 1,Intrument 2,Intrument 3,Intrument 4
7 Year Bitch,Gina Crossey,band,person,member_of,Seattle,WA,USA,Punk Rock,2,drums,,,
Alice in Chains,Layne Staley,band,person,member_of,Seattle,WA,USA,Grunge,2,vocals,,,
Alice in Chains,Jerry Cantrell,band,person,member_of,Seattle,WA,USA,Grunge,2,guitar,,,
Alice in Chains,Sean Kinney,band,person,member_of,Seattle,WA,USA,Grunge,2,drums,,,
Alice in Chains,Mike Inez,band,person,member_of,Seattle,WA,USA,Grunge,2,bass,,,
Alice in Chains,William Duvall,band,person,member_of,Seattle,WA,USA,Grunge,2,vocals,,,
Alice in Chains,Mike Starr,band,person,member_of,Seattle,WA,USA,Grunge,2,bass,,,
Arcadia,Simon Le Bon,band,person,member_of,Birmingham,,GBR,Pop,2,vocals,,,
Arcadia,Nick Rhodes,band,person,member_of,Birmingham,,GBR,Pop,2,keyboards,,,
Camp Hero,Matt Ashman,band,person,member_of,Seattle,WA,USA,,2,drums,vocals,,
Camp Hero,Shane Spellman,band,person,member_of,Seattle,WA,USA,,2,guitar,,,
Camp Hero,Aaron McRae,band,person,member_of,Seattle,WA,USA,,2,bass,,,
Camp Hero,Charlie McAvoy,band,person,member_of,Seattle,WA,USA,,2,drums,vocals,,
Candlebox,Kevin Martin,band,person,member_of,Seattle,WA,USA,Grunge,2,Vocals,guitar,,
Candlebox,Bill Crook,band,person,member_of,Seattle,WA,USA,Grunge,2,vocals,,,
Candlebox,Peter Klett,band,person,member_of,Seattle,WA,USA,Grunge,2,guitar,guitar,,
Candlebox,Scott Mercado,band,person,member_of,Seattle,WA,USA,Grunge,2,drums,,,
Candlebox,Dave Krusen,band,person,member_of,Seattle,WA,USA,Grunge,2,drums,,,
Candlebox,Bardi Martin,band,person,member_of,Seattle,WA,USA,Grunge,2,Bass,,,
Candlebox,Adam Kury,band,person,member_of,Seattle,WA,USA,Grunge,2,bass,,,
Cheap Trick,Robin Zander,band,person,member_of,Rockford,IL,USA,Rock,2,vocals,,,
Cheap Trick,Rick Nielsen,band,person,member_of,Rockford,IL,USA,Rock,2,guitar,,,
Cheap Trick,Tom Petersson,band,person,member_of,Rockford,IL,USA,Rock,2,bass,,,
Cheap Trick,Bun E. Carlos,band,person,member_of,Rockford,IL,USA,Rock,2,drums,,,
Cheap Trick,Jon Brant,band,person,member_of,Rockford,IL,USA,Rock,2,bass,,,
Cheap Trick,Pete Comita,band,person,member_of,Rockford,IL,USA,Rock,2,bass,,,
Cheap Trick,Randy Hogan,band,person,member_of,Rockford,IL,USA,Rock,2,vocals,,,
Christ on a Crutch,Nate Mendel,band,person,member_of,Seattle,WA,USA,,2,bass,,,
Christ on a Crutch,Eric Akre,band,person,member_of,Seattle,WA,USA,,2,drums,,,
Christ on a Crutch,Glen Essary,band,person,member_of,Seattle,WA,USA,,2,guitar,,,
Christ on a Crutch,Jerry Brady,band,person,member_of,Seattle,WA,USA,,2,guitar,,,
Christ on a Crutch,Wayne Kelly,band,person,member_of,Seattle,WA,USA,,2,vocals,,,
Cold War Kids,Nathan Willett,band,person,member_of,Los Angeles,CA,USA,Indie Rock,2,vocals,piano,,
Cold War Kids,Matt Maust,band,person,member_of,Los Angeles,CA,USA,Indie Rock,2,bass,,,
Cold War Kids,David Quon,band,person,member_of,Los Angeles,CA,USA,Indie Rock,2,guitar,,,
Cold War Kids,Matthew Schwartz,band,person,member_of,Los Angeles,CA,USA,Indie Rock,2,keyboards,,,
Cold War Kids,Joe Plummer,band,person,member_of,Los Angeles,CA,USA,Indie Rock,2,drums,,,
Cold War Kids,Dann Gallucci,band,person,member_of,Los Angeles,CA,USA,Indie Rock,2,guitar,keyboards,,
Cold War Kids,Matt Aveiro,band,person,member_of,Los Angeles,CA,USA,Indie Rock,2,drums,,,
Cold War Kids,Jonnie Russell,band,person,member_of,Los Angeles,CA,USA,Indie Rock,2,guitar,,,
Critters Buggin,Matt Chamberlain,band,person,member_of,Seattle,WA,USA,Rock,2,drums,,,
Critters Buggin,Skerik,band,person,member_of,Seattle,WA,USA,Rock,2,sax,keyboards,,
Critters Buggin,Mike Dillon,band,person,member_of,Seattle,WA,USA,Rock,2,percussion,,,
Critters Buggin,John Bush,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Critters Buggin,Brad Houser,band,person,member_of,Seattle,WA,USA,Rock,2,bass,,,
Crowded House,Neil Finn,band,person,member_of,Melbourne,,AUS,Pop Rock,2,vocals,guitar,,
Crowded House,Nick Seymour,band,person,member_of,Melbourne,,AUS,Pop Rock,2,bass,vocals,,
Crowded House,Mitchell Froom,band,person,member_of,Melbourne,,AUS,Pop Rock,2,keyboards,,,
Crowded House,Liam Finn,band,person,member_of,Melbourne,,AUS,Pop Rock,2,guitar,drums,,
Crowded House,Elroy Finn,band,person,member_of,Melbourne,,AUS,Pop Rock,2,drums,,,
Crowded House,Craig Hooper,band,person,member_of,Melbourne,,AUS,Pop Rock,2,guitar,,,
Crowded House,Paul Hester,band,person,member_of,Melbourne,,AUS,Pop Rock,2,drums,,,
Crowded House,Tim Finn,band,person,member_of,Melbourne,,AUS,Pop Rock,2,vocals,guitar,,
Crowded House,Peter Jones,band,person,member_of,Melbourne,,AUS,Pop Rock,2,drums,,,
Crowded House,Mark Hart,band,person,member_of,Melbourne,,AUS,Pop Rock,2,keyboards,,,
Crowded House,Matt Sherrod,band,person,member_of,Melbourne,,AUS,Pop Rock,2,drums,,,
Culprit,Jeff L'Heureux,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,vocals,,,
Culprit,Kjartan Kristoffersen,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,guitar,,,
Culprit,John DeVol,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,guitar,,,
Culprit,Bud Burrill,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,drums,,,
Culprit,Steve Nations,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,,,,
Culprit,Tim Kleiman,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,,,,
Culprit,Saul Ashley,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,drums,,,
Culprit,Mino Mereu,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,vocals,,,
Culprit,Lamar Little,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,,,,
Culprit,Patrick Abbate,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,guitar,,,
Culprit,Scott Earl,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,bass,,,
Death Cab for Cutie,Ben Gibbard,band,person,member_of,Seattle,WA,USA,Indie Rock,2,vocals,guitar,,
Death Cab for Cutie,Nick Harmer,band,person,member_of,Seattle,WA,USA,Indie Rock,2,bass,,,
Death Cab for Cutie,Jason McGerr,band,person,member_of,Seattle,WA,USA,Indie Rock,2,drums,,,
Death Cab for Cutie,Dave Depper,band,person,member_of,Seattle,WA,USA,Indie Rock,2,guitar,,,
Death Cab for Cutie,Zac Rae,band,person,member_of,Seattle,WA,USA,Indie Rock,2,keyboards,,,
Death Cab for Cutie,Nathan Good,band,person,member_of,Seattle,WA,USA,Indie Rock,2,drums,,,
Death Cab for Cutie,Jayson Tolzdorf-Larson,band,person,member_of,Seattle,WA,USA,Indie Rock,2,drums,,,
Death Cab for Cutie,Michael Schorr,band,person,member_of,Seattle,WA,USA,Indie Rock,2,drums,,,
Death Cab for Cutie,Chris Walla,band,person,member_of,Seattle,WA,USA,Indie Rock,2,guitar,,,
Duran Duran,Nick Rhodes,band,person,member_of,Birmingham,,GBR,New Wave,2,keyboards,,,
Duran Duran,John Taylor,band,person,member_of,Birmingham,,GBR,New Wave,2,bass,,,
Duran Duran,Roger Taylor,band,person,member_of,Birmingham,,GBR,New Wave,2,drums,,,
Duran Duran,Simon Le Bon,band,person,member_of,Birmingham,,GBR,New Wave,2,vocals,,,
Duran Duran,Andy Taylor,band,person,member_of,Birmingham,,GBR,New Wave,2,guitar,,,
Duran Duran,Stephen Duffy,band,person,member_of,Birmingham,,GBR,New Wave,2,drums,,,
Duran Duran,Simon Colley,band,person,member_of,Birmingham,,GBR,New Wave,2,bass,,,
Duran Duran,Andy Wickett,band,person,member_of,Birmingham,,GBR,New Wave,2,vocals,,,
Duran Duran,Alan Curtis,band,person,member_of,Birmingham,,GBR,New Wave,2,guitar,,,
Duran Duran,Jeff Thomas,band,person,member_of,Birmingham,,GBR,New Wave,2,vocals,,,
Duran Duran,Warren Cuccurullo,band,person,member_of,Birmingham,,GBR,New Wave,2,guitar,,,
Duran Duran,Sterling Campbell,band,person,member_of,Birmingham,,GBR,New Wave,2,drums,,,
Dust Moth,Irene Barber,band,person,member_of,Seattle,WA,USA,Shoegaze,2,vocals,,,
Dust Moth,Ryan Frederiksen,band,person,member_of,Seattle,WA,USA,Shoegaze,2,guitar,,,
Dust Moth,Steve Becker,band,person,member_of,Seattle,WA,USA,Shoegaze,2,bass,,,
Dust Moth,Jim Acquavella,band,person,member_of,Seattle,WA,USA,Shoegaze,2,drums,,,
Dust Moth,Matt Bayles,band,person,member_of,Seattle,WA,USA,Shoegaze,2,"keyboards, production",,,
Dust Moth,Mark Holcomb,band,person,member_of,Seattle,WA,USA,Shoegaze,2,rhythm guitar,,,
Dust Moth,Jason Craig,band,person,member_of,Seattle,WA,USA,Shoegaze,2,bass,,,
Dust Moth,Jacob James,band,person,member_of,Seattle,WA,USA,Shoegaze,2,bass,,,
Dust Moth,Andy King,band,person,member_of,Seattle,WA,USA,Shoegaze,2,drums,,,
Fastbacks,Kurt Bloch,band,person,member_of,Seattle,WA,USA,Pop Punk,2,vocals,guitar,,
Fastbacks,Lulu Gargiulo,band,person,member_of,Seattle,WA,USA,Pop Punk,2,guitar,vocals,,
Fastbacks,Kim Warnick,band,person,member_of,Seattle,WA,USA,Pop Punk,2,bass,vocals,,
Fastbacks,Duff McKagan,band,person,member_of,Seattle,WA,USA,Pop Punk,2,guitar,guitar,,
Fastbacks,Mike Musburger,band,person,member_of,Seattle,WA,USA,Pop Punk,2,drums,,,
Fastbacks,Richard Stuverud,band,person,member_of,Seattle,WA,USA,Pop Punk,2,drums,,,
Fastbacks,Nate Johnson,band,person,member_of,Seattle,WA,USA,Pop Punk,2,drums,,,
Fastbacks,Rusty Willoughby,band,person,member_of,Seattle,WA,USA,Pop Punk,2,drums,,,
Fifth Angel,Ed Archer,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,guitar,,,
Fifth Angel,Ken Mary,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,drums,,,
Fifth Angel,John Macko,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,bass,,,
Fifth Angel,Ethan Brosh,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,guitar,,,
Fifth Angel,Steven Carlson,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,vocals,,,
Fifth Angel,Ted Pilot,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,vocals,,,
Fifth Angel,James Byrd,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,guitar,,,
Fifth Angel,Kendall Bechtel,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,guitar,,,
Fifth Angel,Kenny Ray,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,bass,,,
Fifth Angel,Richard Stuverud,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,drums,,,
Fifth Angel,Tim Branom,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,vocals,,,
Fifth Angel,Peter Orullian,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,vocals,,,
Fifth Angel,Jeffrey McCormack,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,drums,,,
Fifth Angel,Jim Dofka,band,person,member_of,Seattle,WA,USA,Heavy Metal,2,guitar,,,
Foo Fighters,Dave Grohl,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,vocals,guitar,,
Foo Fighters,Nate Mendel,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,bass,,,
Foo Fighters,Pat Smear,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,,,
Foo Fighters,Chris Shiflett,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,,,
Foo Fighters,Rami Jaffee,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,keyboards,,,
Foo Fighters,Ilan Rubin,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Foo Fighters,William Goldsmith,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Foo Fighters,Franz Stahl,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,,,
Foo Fighters,Taylor Hawkins,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Foo Fighters,Josh Freese,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Forced Entry,Tony Benjamins,band,person,member_of,Seattle,WA,USA,Thrash Metal,2,vocals,bass,,
Forced Entry,Brad Hull,band,person,member_of,Seattle,WA,USA,Thrash Metal,2,guitar,,,
Forced Entry,Colin Mattson,band,person,member_of,Seattle,WA,USA,Thrash Metal,2,drums,,,
Forced Entry,Doug Ramm,band,person,member_of,Seattle,WA,USA,Thrash Metal,2,,,,
Goodness,Carrie Akre,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,vocals,,,
Goodness,Garth Reeves,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,,,
Goodness,Danny Newcomb,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,,,
Goodness,Fiia McGann,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,bass,,,
Goodness,Chris Friel,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Green Apple Quickstep,Steve Ross,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,,,
Green Apple Quickstep,Ty Willman,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,vocals,,,
Green Apple Quickstep,Daniel Kempthorne,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,,,
Green Apple Quickstep,Mari Ann Braeden,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,bass,,,
Green Apple Quickstep,Geoff Reading,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Green Apple Quickstep,Christa Wells,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,bass,,,
Green Apple Quickstep,Mike Squires,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,,,
Green Apple Quickstep,Dain Hudson,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Green Apple Quickstep,Dana Turner,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,,,
Green Apple Quickstep,Bob Martin,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Green River,Mark Arm,band,person,member_of,Seattle,WA,USA,Grunge,2,vocals,guitar,,
Green River,Steve Turner,band,person,member_of,Seattle,WA,USA,Grunge,2,guitar,,,
Green River,Jeff Ament,band,person,member_of,Seattle,WA,USA,Grunge,2,bass,,,
Green River,Bruce Fairweather,band,person,member_of,Seattle,WA,USA,Grunge,2,guitar,,,
Gruntruck,Ben McMillan,band,person,member_of,Seattle,WA,USA,Grunge,2,vocals,guitar,,
Gruntruck,Tom Niemeyer,band,person,member_of,Seattle,WA,USA,Grunge,2,guitar,,,
Gruntruck,Tim Paul,band,person,member_of,Seattle,WA,USA,Grunge,2,bass,,,
Gruntruck,Norman Scott,band,person,member_of,Seattle,WA,USA,Grunge,2,drums,,,
Gruntruck,Alex Sibbald,band,person,member_of,Seattle,WA,USA,Grunge,2,bass,,,
Gruntruck,Josh Sinder,band,person,member_of,Seattle,WA,USA,Grunge,2,drums,,,
Guns N' Roses,Axl Rose,band,person,member_of,Los Angeles,CA,USA,Hard Rock,2,vocals,,,
Guns N' Roses,Duff McKagan,band,person,member_of,Los Angeles,CA,USA,Hard Rock,2,guitar,guitar,,
Guns N' Roses,Slash,band,person,member_of,Los Angeles,CA,USA,Hard Rock,2,guitar,,,
Guns N' Roses,Dizzy Reed,band,person,member_of,Los Angeles,CA,USA,Hard Rock,2,keyboards,,,
Guns N' Roses,Richard Fortus,band,person,member_of,Los Angeles,CA,USA,Hard Rock,2,guitar,,,
Guns N' Roses,Melissa Reese,band,person,member_of,Los Angeles,CA,USA,Hard Rock,2,synth,keyboards,,
Guns N' Roses,Isaac Carpenter,band,person,member_of,Los Angeles,CA,USA,Hard Rock,2,drums,,,
Guns N' Roses,Izzy Stradlin,band,person,member_of,Los Angeles,CA,USA,Hard Rock,2,guitar,,,
Guns N' Roses,Steven Adler,band,person,member_of,Los Angeles,CA,USA,Hard Rock,2,drums,,,
Hammerbox,Carrie Akre,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,vocals,,,
Hammerbox,Harris Thurmond,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,,,
Hammerbox,James Atkins,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,bass,,,
Hammerbox,Dave Birenbaum,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Harkonen,Ben Verellen,band,person,member_of,Tacoma,WA,USA,Post-Hardcore,2,bass,vocals,,
Harkonen,Matt Howard,band,person,member_of,Tacoma,WA,USA,Post-Hardcore,2,drums,,,
Harkonen,Casey Hardy,band,person,member_of,Tacoma,WA,USA,Post-Hardcore,2,guitar,vocals,,
Harkonen,Aaron Connell,band,person,member_of,Tacoma,WA,USA,Post-Hardcore,2,vocals,,,
Harkonen,Bill Quinby,band,person,member_of,Tacoma,WA,USA,Post-Hardcore,2,guitar,,,
Harkonen,Chris Vancourt,band,person,member_of,Tacoma,WA,USA,Post-Hardcore,2,guitar,,,
Harkonen,Mike Jones,band,person,member_of,Tacoma,WA,USA,Post-Hardcore,2,vocals,,,
Harvey Danger,Sean Nelson,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,vocals,,,
Harvey Danger,Jeff J. Lin,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,piano,,
Harvey Danger,Aaron Huffman,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,bass,,,
Harvey Danger,Michael Welke,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Harvey Danger,Rob Knop,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,keyboards,,,
Harvey Danger,Ken Hunt,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Harvey Danger,Dan Fineman,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Harvey Danger,Evan Sult,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,drums,,,
Harvey Danger,Mike Squires,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,guitar,,,
Harvey Danger,John Roderick,band,person,member_of,Seattle,WA,USA,Alternative Rock,2,keyboards,bass,,
Heart,Ann Wilson,band,person,member_of,Seattle,WA,USA,Rock,2,vocals,,,
Heart,Nancy Wilson,band,person,member_of,Seattle,WA,USA,Rock,2,vocals,guitar,,
Heart,Ryan Waters,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Ryan Wariner,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Paul Moak,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Tony Lucido,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Sean T. Lane,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Steve Fossen,band,person,member_of,Seattle,WA,USA,Rock,2,bass,,,
Heart,Roger Fisher,band,person,member_of,Seattle,WA,USA,Rock,2,guitar,,,
Heart,Gary Ziegelman,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,James Cirrello,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Ron Rudge,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Ken Hansen,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,David Belzer,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Jeff Johnson,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Gary Humphries,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Don Wilhelm,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Chris Blaine,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,John Hannah,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Brian Johnstone,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Howard Leese,band,person,member_of,Seattle,WA,USA,Rock,2,guitar,,,
Heart,Michael Derosier,band,person,member_of,Seattle,WA,USA,Rock,2,drums,,,
Heart,Denny Carmassi,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Mark Andes,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
Heart,Denny Fongheiser,band,person,member_of,Seattle,WA,USA,Rock,2,,,,
